label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Equine Herpesvirus 4,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_4,,,
Equine Herpesvirus 5,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_5,,,
Equine Infectious Anemia,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Equine_infectious_anemia,"EIA, swamp fever",,
Equine Influenza,,TRUE,,Influenza,TRUE,,http://en.wikipedia.org/wiki/Equine_influenza,horse flu,,
Fascioliasis,,TRUE,,,,,http://en.wikipedia.org/wiki/Fasciolosis,"liver rot, fasciolosis",,
Fasciolopsiasis,,TRUE,,,,,http://en.wikipedia.org/wiki/Fasciolopsiasis,,,
Feline immunodeficiency virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_immunodeficiency_virus,FIV,,
Feline infectious peritonitis,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_infectious_peritonitis,FIP,,
Feline leukemia virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_leukemia_virus,,,
Feline panleukopenia virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_panleukopenia,,,
Fever,TRUE,,,,,,http://en.wikipedia.org/wiki/Fever,,,
Filariasis,,,,,,,http://en.wikipedia.org/wiki/Filariasis,,,
Flea-borne disease,TRUE,,,,,,NF,,,
Food-related toxin,TRUE,,,,,,NF,,,
Foodborne Illness,TRUE,,,,,,http://en.wikipedia.org/wiki/Foodborne_illness,,,
Foot and Mouth,,,,,,,http://en.wikipedia.org/wiki/Foot-and-mouth_disease,"Foot and Mouth disease, hoof and mouth disease",,
Foot Fungus,,,,,,,http://en.wikipedia.org/wiki/Athlete%27s_foot,,,
Fungal Meningitis,,,,Meningitis,,,http://en.wikipedia.org/wiki/Meningitis,,,"sub heading ""Fungal"""
Gastroenteritis,,,,,,,http://en.wikipedia.org/wiki/Gastroenteritis,,,infectious diarrhea
Giardiasis,,,,,,,http://en.wikipedia.org/wiki/Giardiasis,,,
Glanders,,,,,,,http://en.wikipedia.org/wiki/Glanders,,,
Gnathostoma,,TRUE,,,,,http://en.wikipedia.org/wiki/Gnathostoma,,,
